"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 26 15:59:23 UTC 2025","Wed Nov 26 15:59:26 UTC 2025","3544","Google Chrome","productinfo.spec.ts","","","","verify product Header MacBook Pro",""
"passed","Wed Nov 26 15:59:26 UTC 2025","Wed Nov 26 15:59:31 UTC 2025","4227","Google Chrome","productinfo.spec.ts","","","","verify product Header MacBook Air",""
"passed","Wed Nov 26 16:00:31 UTC 2025","Wed Nov 26 16:00:35 UTC 2025","3696","Google Chrome","register.spec.ts","","","","@register verify user is able to register Bob",""
"broken","Wed Nov 26 15:59:55 UTC 2025","Wed Nov 26 16:00:27 UTC 2025","31322","Google Chrome","regfix.spec.ts","","","","Register a user from CSV",""
"passed","Wed Nov 26 15:59:35 UTC 2025","Wed Nov 26 15:59:38 UTC 2025","3746","Google Chrome","productinfo.spec.ts","","","","verify product Images MacBook Pro : 4",""
"passed","Wed Nov 26 15:59:43 UTC 2025","Wed Nov 26 15:59:47 UTC 2025","4179","Google Chrome","productinfo.spec.ts","","","","verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Wed Nov 26 16:00:46 UTC 2025","Wed Nov 26 16:00:49 UTC 2025","2814","Google Chrome","search.spec.ts","","","","@search @sanity verify product search canon",""
"passed","Wed Nov 26 15:59:12 UTC 2025","Wed Nov 26 15:59:17 UTC 2025","4303","Google Chrome","loginpage.spec.ts","","","","verify valid login @login",""
"passed","Wed Nov 26 16:00:49 UTC 2025","Wed Nov 26 16:00:52 UTC 2025","2869","Google Chrome","search.spec.ts","","","","@search @sanity verify product search Dummy",""
"passed","Wed Nov 26 15:59:21 UTC 2025","Wed Nov 26 15:59:23 UTC 2025","2171","Google Chrome","loginpage.spec.ts","","","","verify Invalid login @wip",""
"passed","Wed Nov 26 15:59:47 UTC 2025","Wed Nov 26 15:59:52 UTC 2025","4822","Google Chrome","productinfo.spec.ts","","","","verify product MetaData",""
"passed","Wed Nov 26 16:00:38 UTC 2025","Wed Nov 26 16:00:41 UTC 2025","2647","Google Chrome","search.spec.ts","","","","@search @sanity verify product search macbook",""
"passed","Wed Nov 26 16:00:27 UTC 2025","Wed Nov 26 16:00:31 UTC 2025","3846","Google Chrome","register.spec.ts","","","","@register verify user is able to register Alice",""
"passed","Wed Nov 26 15:59:52 UTC 2025","Wed Nov 26 15:59:55 UTC 2025","3507","Google Chrome","productinfo.spec.ts","","","","verify product Pricing",""
"passed","Wed Nov 26 16:00:41 UTC 2025","Wed Nov 26 16:00:43 UTC 2025","2815","Google Chrome","search.spec.ts","","","","@search @sanity verify product search samsung",""
"passed","Wed Nov 26 16:00:35 UTC 2025","Wed Nov 26 16:00:38 UTC 2025","3063","Google Chrome","register.spec.ts","","","","@register verify user is able to register Charlie",""
"passed","Wed Nov 26 15:59:38 UTC 2025","Wed Nov 26 15:59:43 UTC 2025","4128","Google Chrome","productinfo.spec.ts","","","","verify product Images MacBook Air : 4",""
"passed","Wed Nov 26 16:00:43 UTC 2025","Wed Nov 26 16:00:46 UTC 2025","2811","Google Chrome","search.spec.ts","","","","@search @sanity verify product search imac",""
"passed","Wed Nov 26 15:59:31 UTC 2025","Wed Nov 26 15:59:35 UTC 2025","4127","Google Chrome","productinfo.spec.ts","","","","verify product Header Samsung Galaxy Tab 10.1",""
